127.0.0.1 - - [24/Jan/2024:14:18:33 +0200] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [24/Jan/2024:14:18:46 +0200] "GET /shop/login HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [24/Jan/2024:14:18:46 +0200] "GET /favicon.ico HTTP/1.1" 404 703
0:0:0:0:0:0:0:1 - - [24/Jan/2024:14:18:48 +0200] "POST /shop/locale HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jan/2024:14:18:48 +0200] "GET /shop/login HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [24/Jan/2024:14:18:49 +0200] "POST /shop/locale HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jan/2024:14:18:49 +0200] "GET /shop/login HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [24/Jan/2024:14:18:50 +0200] "POST /shop/locale HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jan/2024:14:18:50 +0200] "GET /shop/login HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [24/Jan/2024:14:18:59 +0200] "POST /shop/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jan/2024:14:18:59 +0200] "GET /shop/orders?customerId=1 HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [24/Jan/2024:14:19:04 +0200] "POST /shop/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jan/2024:14:19:04 +0200] "GET /shop/items HTTP/1.1" 200 1570
